mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
398.9934265613556,2.7723423875048088,7.406650638580322,0.02066742662564544,10,300,"{'estimator__max_depth': 10, 'n_estimators': 300}",0.9171428571428571,0.9235714285714286,0.9285714285714286,0.9228571428571428,0.9242857142857143,0.9232857142857143,0.0036589281356759207,5
554.9961162567139,8.041309911739111,9.840584230422973,0.08960558170352143,10,400,"{'estimator__max_depth': 10, 'n_estimators': 400}",0.9171428571428571,0.925,0.9278571428571428,0.9228571428571428,0.9228571428571428,0.9231428571428572,0.0035167238928831865,14
659.5179443359375,2.0144153908340603,12.20551676750183,0.05306027520836094,10,500,"{'estimator__max_depth': 10, 'n_estimators': 500}",0.9164285714285715,0.9257142857142857,0.9278571428571428,0.9235714285714286,0.9228571428571428,0.9232857142857143,0.0038491981672306827,5
713.5003295898438,1.5743249877355558,7.346213722229004,0.042129732626450846,20,300,"{'estimator__max_depth': 20, 'n_estimators': 300}",0.9207142857142857,0.9314285714285714,0.9321428571428572,0.9271428571428572,0.9335714285714286,0.9289999999999999,0.004664236490661294,2
941.3092960357666,6.661875143929236,9.681803989410401,0.024386427983171886,20,400,"{'estimator__max_depth': 20, 'n_estimators': 400}",0.9207142857142857,0.9314285714285714,0.9314285714285714,0.9292857142857143,0.935,0.9295714285714286,0.00479370335301787,1
1195.3656533241272,5.325819862518062,12.16513524055481,0.052287329612034125,20,500,"{'estimator__max_depth': 20, 'n_estimators': 500}",0.92,0.93,0.9314285714285714,0.9285714285714286,0.9342857142857143,0.9288571428571428,0.004814942727529328,3
1238.7788662433625,15.285715962158887,7.313735103607177,0.08757737339246971,40,300,"{'estimator__max_depth': 40, 'n_estimators': 300}",0.9214285714285714,0.93,0.93,0.93,0.9335714285714286,0.929,0.0040304959941902885,1
1641.5429631710053,27.376865029520598,9.73498830795288,0.021722122275983337,40,400,"{'estimator__max_depth': 40, 'n_estimators': 400}",0.9214285714285714,0.9264285714285714,0.93,0.9292857142857143,0.935,0.9284285714285716,0.004458424724093536,6
2077.674338388443,30.782329107098146,12.17073097229004,0.057386999560360766,40,500,"{'estimator__max_depth': 40, 'n_estimators': 500}",0.9207142857142857,0.9271428571428572,0.9307142857142857,0.9307142857142857,0.9335714285714286,0.9285714285714285,0.004426266681379915,4
