mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.53819875717163,0.4958782816404371,0.060764217376708986,0.005751800835567431,0.3,3,125,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 125}",0.9342857142857143,0.9371428571428572,0.9464285714285714,0.9392857142857143,0.9442857142857143,0.9402857142857142,0.004485805276602158,19
34.56077132225037,0.6195535448361736,0.0617307186126709,0.0033391110616941447,0.3,3,150,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 150}",0.9371428571428572,0.9371428571428572,0.9457142857142857,0.9385714285714286,0.9428571428571428,0.9402857142857144,0.003428571428571418,18
39.347488212585446,0.6940136716576518,0.06333584785461426,0.005326701540869491,0.3,3,175,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 175}",0.9385714285714286,0.94,0.9492857142857143,0.9414285714285714,0.9442857142857143,0.9427142857142856,0.0037904283318347443,3
38.77044105529785,0.1972910373758051,0.060174179077148435,0.002930936899294439,0.3,4,125,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 125}",0.935,0.9392857142857143,0.9428571428571428,0.9414285714285714,0.9414285714285714,0.9400000000000001,0.0027479120088101617,21
43.9662703037262,0.2401590339779179,0.0563082218170166,0.0043942214692928696,0.3,4,150,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 150}",0.9378571428571428,0.9385714285714286,0.9442857142857143,0.9414285714285714,0.9442857142857143,0.9412857142857142,0.002725540575476984,11
50.102187395095825,0.4007893688037962,0.062017822265625,0.005834537326611301,0.3,4,175,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 175}",0.9357142857142857,0.9392857142857143,0.9442857142857143,0.9414285714285714,0.9442857142857143,0.9410000000000001,0.0032450904833144388,13
48.554603099823,1.2419200313284036,0.05884275436401367,0.003161331633353968,0.3,5,125,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 125}",0.9342857142857143,0.9428571428571428,0.9435714285714286,0.9385714285714286,0.9464285714285714,0.9411428571428571,0.0042522503046106275,12
54.10862822532654,0.38051131123982107,0.0598264217376709,0.005037912423569263,0.3,5,150,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 150}",0.9357142857142857,0.9435714285714286,0.9435714285714286,0.9392857142857143,0.9471428571428572,0.941857142857143,0.003953815000885172,8
59.57512559890747,0.518158948996025,0.06792254447937011,0.007071098758000374,0.3,5,175,"{'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 175}",0.9371428571428572,0.9435714285714286,0.9435714285714286,0.9392857142857143,0.9471428571428572,0.9421428571428573,0.0035283111529224305,7
30.9954617023468,0.515314715167826,0.0667330265045166,0.005962224894145219,0.2,3,125,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 125}",0.9357142857142857,0.935,0.9435714285714286,0.9364285714285714,0.9435714285714286,0.938857142857143,0.0038756171332144543,24
35.500831317901614,0.32415082300494785,0.07314777374267578,0.007866174567714287,0.2,3,150,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 150}",0.9371428571428572,0.9407142857142857,0.9435714285714286,0.9371428571428572,0.945,0.9407142857142858,0.003226168511610332,14
41.371461915969846,1.910634221136935,0.07705459594726563,0.006077340273984288,0.2,3,175,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 175}",0.94,0.9385714285714286,0.945,0.9385714285714286,0.945,0.9414285714285715,0.0029623487647610688,10
40.81643133163452,1.1585121817445037,0.07419648170471191,0.0060273174341659505,0.2,4,125,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 125}",0.9421428571428572,0.9435714285714286,0.9442857142857143,0.9407142857142857,0.9407142857142857,0.9422857142857144,0.0014568627181693692,6
46.32541737556458,0.35874153698714095,0.06781673431396484,0.006204190892316924,0.2,4,150,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 150}",0.9421428571428572,0.945,0.945,0.94,0.9414285714285714,0.9427142857142856,0.0019897697538834407,3
52.239921522140506,0.19468493976032286,0.0684587001800537,0.003707432113893729,0.2,4,175,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 175}",0.9442857142857143,0.9464285714285714,0.9471428571428572,0.9407142857142857,0.94,0.9437142857142856,0.0029067128499108423,1
50.35839033126831,0.42721581540410186,0.06598987579345703,0.007269967134159816,0.2,5,125,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 125}",0.9392857142857143,0.9407142857142857,0.9471428571428572,0.9357142857142857,0.945,0.9415714285714285,0.004075812176482029,9
57.564407682418825,0.5219559547062872,0.0702242374420166,0.005576968779685266,0.2,5,150,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 150}",0.9407142857142857,0.9435714285714286,0.9471428571428572,0.9364285714285714,0.9442857142857143,0.9424285714285714,0.0036309328648968333,5
65.37415070533753,1.6413358740960295,0.06768012046813965,0.007294364017417362,0.2,5,175,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 175}",0.94,0.9442857142857143,0.9478571428571428,0.9371428571428572,0.9457142857142857,0.943,0.003896623341995958,2
31.48602466583252,0.5345270661418444,0.06576337814331054,0.007624530355651993,0.1,3,125,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 125}",0.9335714285714286,0.9328571428571428,0.9392857142857143,0.9328571428571428,0.9371428571428572,0.9351428571428573,0.0026108095546424448,27
36.08597822189331,0.39323479794488625,0.06623854637145996,0.0062304544064918305,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.9335714285714286,0.9357142857142857,0.9407142857142857,0.9321428571428572,0.9364285714285714,0.9357142857142857,0.0029277002188455915,26
40.11130199432373,0.1886782468029169,0.06309270858764648,0.0029861551632682074,0.1,3,175,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 175}",0.9335714285714286,0.9357142857142857,0.9428571428571428,0.9392857142857143,0.9364285714285714,0.9375714285714285,0.0032134919654862697,25
42.041044092178346,1.6501638504499525,0.061689329147338864,0.001964916980828973,0.1,4,125,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 125}",0.9335714285714286,0.935,0.9435714285714286,0.9407142857142857,0.9442857142857143,0.9394285714285715,0.004389226141639193,23
48.45751919746399,0.928401209724062,0.06870660781860352,0.006208592796625551,0.1,4,150,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.9328571428571428,0.9364285714285714,0.9435714285714286,0.9421428571428572,0.9442857142857143,0.9398571428571427,0.00445842472409352,22
54.197141313552855,0.5430737980171239,0.07264814376831055,0.007869053604995372,0.1,4,175,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 175}",0.935,0.9357142857142857,0.9428571428571428,0.9421428571428572,0.945,0.9401428571428572,0.00402542937245865,20
53.96045346260071,0.534873502241769,0.06801128387451172,0.009966408089010425,0.1,5,125,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 125}",0.9314285714285714,0.9421428571428572,0.9457142857142857,0.9407142857142857,0.9421428571428572,0.9404285714285715,0.0047937033530178865,17
62.0936288356781,0.8008833136292478,0.06862149238586426,0.009600046871981767,0.1,5,150,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}",0.9328571428571428,0.94,0.9464285714285714,0.9414285714285714,0.9421428571428572,0.9405714285714286,0.004412412917565861,16
69.99367237091064,0.7540554774360468,0.07051429748535157,0.0052767972068756995,0.1,5,175,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 175}",0.9328571428571428,0.9421428571428572,0.9471428571428572,0.94,0.9414285714285714,0.9407142857142856,0.004607004427599192,15
